First,Second,Third,Fouth,Average
69645.98657,73707.96028,71092.60975,73212.01472,71914.64283
80213.1661,90785.42861,89685.87773,94977.04528,88915.37943
121751.4493,127447.4506,139468.2153,137700.9513,131592.0166
136728.9583,141346.5241,149250.5634,142369.5723,142423.9045
195361.2203,193784.6163,206043.0837,209391.5644,201145.1212
223577.0638,234577.2677,251723.8993,240668.9198,237636.7876
276339.8663,384421.903,370979.3774,389307.1229,355262.0674
411695.6854,493740.7719,424315.0332,428738.7364,439622.5567
441797.5422,495713.1133,500185.4631,507307.5636,486250.9205
438298.5861,414045.0322,574343.2553,543300.6543,492496.882
580962.3146,736356.572,573363.8143,445008.6121,583922.8283
565786.2976,1058137.5,625700.5429,1130308.713,844983.2634